LoanID,UserID,BusinessType,BusinessAge,AnnualTurnover,ProfitMargin,NumEmployees,LoanAmount,LoanPurpose,LoanTenure,InterestRate,MonthlyEMI,EMI_Defaulted,PreviousDefaults,CreditScore,CollateralValue,DSCR,CurrentRatio,RevenueGrowth,Location,IndustrySector,YearsWithBank,BankRelationshipScore,Risk_Prediction
LN00001,USR00001,Tech,17,99.34,7.12,14,21.25,Expansion,4,14.86,0.51,3,0,570,9.28,1.22,1.93,8.02,Ahmedabad,Construction,10,4.7,High Risk
LN00002,USR00002,Trading,19,40.55,17.56,46,11.1,Equipment,1,12.72,1.04,3,2,343,9.16,0.83,1.84,13.24,Hyderabad,Textiles,14,4.8,High Risk
LN00003,USR00003,Food,14,99.56,7.43,14,13.14,Working Capital,3,14.11,0.42,3,0,847,11.57,1.63,1.44,5.53,Delhi,Construction,1,2.1,High Risk
LN00004,USR00004,Tech,12,121.14,24.72,26,20.21,Equipment,1,13.89,1.92,0,1,467,14.23,1.56,1.35,11.25,Bangalore,FMCG,6,4.7,High Risk
LN00005,USR00005,Services,10,41.32,20.61,26,18.19,Debt Consolidation,5,14.26,0.35,1,2,734,17.1,0.9,2.8,-0.24,Bangalore,Textiles,13,3.9,High Risk
LN00006,USR00006,Food,20,47.47,12.8,13,13.34,Equipment,1,10.32,1.23,1,2,329,10.08,1.03,1.23,12.67,Kolkata,Pharma,8,1.6,High Risk
LN00007,USR00007,Food,21,105.53,16.57,15,11.51,Equipment,3,15.29,0.37,3,2,656,8.77,1.67,1.29,4.4,Kolkata,Construction,10,3.4,High Risk
LN00008,USR00008,Tech,18,83.14,23.23,29,22.33,Expansion,2,10.31,1.03,0,2,790,7.54,1.2,1.57,8.52,Delhi,Agri,14,1.1,High Risk
LN00009,USR00009,Manufacturing,24,91.54,16.08,10,9.42,Debt Consolidation,6,9.13,0.14,0,1,547,5.55,2.29,2.91,9.63,Bangalore,IT Services,13,3.8,High Risk
LN00010,USR00010,Services,11,85.22,8.49,12,13.95,Inventory,3,14.62,0.44,1,1,552,6.98,1.09,1.26,8.84,Bangalore,IT Services,8,3.9,High Risk
LN00011,USR00011,Tech,2,86.72,12.57,10,7.47,Inventory,1,10.05,0.69,2,1,681,10.71,0.83,2.65,7.57,Kolkata,FMCG,1,4.2,High Risk
